Trajectories,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,
,,5 Marker Wand & L-Frame:Top2,,,5 Marker Wand & L-Frame:Top3,,,5 Marker Wand & L-Frame:Mid,,,5 Marker Wand & L-Frame:Bottom2,,,5 Marker Wand & L-Frame:Bottom3,,,| 5 Marker Wand & L-Frame:Top2 |,| 5 Marker Wand & L-Frame:Top3 |,| 5 Marker Wand & L-Frame:Mid |,| 5 Marker Wand & L-Frame:Bottom2 |,| 5 Marker Wand & L-Frame:Bottom3 |,Trajectory Count
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Count
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,
1,0,-110.481,509.731,869.488,-387.367,346.005,870.279,-393.314,352.252,671.058,-128.392,535.808,269.856,-403.957,370.141,268.182,1013.92,1013.49,853.871,613.512,610.005,5
2,0,-110.497,509.734,869.489,-387.397,346.01,870.276,-393.352,352.257,671.034,-128.373,535.833,269.843,-403.966,370.132,268.188,1013.93,1013.5,853.872,613.524,610.009,5
3,0,-110.512,509.73,869.483,-387.409,346.041,870.26,-393.359,352.261,671.023,-128.377,535.815,269.843,-403.966,370.135,268.182,1013.92,1013.5,853.868,613.509,610.008,5
4,0,-110.478,509.756,869.487,-387.386,346.054,870.289,-393.35,352.289,671.026,-128.373,535.81,269.858,-403.966,370.135,268.182,1013.93,1013.52,853.878,613.51,610.008,5
5,0,-110.489,509.778,869.482,-387.377,346.059,870.274,-393.321,352.326,671.041,-128.361,535.84,269.847,-403.958,370.143,268.175,1013.94,1013.51,853.892,613.529,610.005,5
6,0,-110.515,509.791,869.412,-387.377,346.064,870.267,-393.307,352.356,671.04,-128.368,535.851,269.835,-403.936,370.163,268.195,1013.89,1013.5,853.897,613.535,610.011,5
7,0,-110.53,509.809,869.431,-387.375,346.122,870.247,-393.304,352.364,671.047,-128.346,535.854,269.814,-403.933,370.182,268.166,1013.92,1013.5,853.904,613.524,610.008,5
8,0,-110.512,509.865,869.432,-387.393,346.133,870.224,-393.27,352.427,671.041,-128.354,535.877,269.809,-403.888,370.225,268.202,1013.95,1013.49,853.91,613.544,610.02,5
